party_id,country,abbrev,name,family
43120,Switzerland,GLP,Green Liberal Party,liberal
43520,Switzerland,CVP/PDC,Christian Democratic People's Party of Switzerland,centre-right
43330,Switzerland,FDP,Free Democratic Party,liberal
43320,Switzerland,SPS/PSS,Social Democratic Party,centre-left
43901,Switzerland,LdT,Ticino League,far-right
43810,Switzerland,SVP/UDC,Swiss People’s Party,far-right
43210,Switzerland,EVP,Evangelical People’s Party,centre
43711,Switzerland,EDU,Federal Democratic Union,far-right
43540,Switzerland,CSP,Christian Social Party,centre-left
43811,Switzerland,BDP/PBD,Conservative Democratic Party of Switzerland,centre-right
43260,Switzerland,SOL,Swiss Party of Labour,far-left
43270,Switzerland,PDA/GSOA,Swiss Party of Labour / Group for a Switzerland without an Army,far-left
43902,Switzerland,MCG,Geneva Citizens' Movement,far-right
51110,United Kingdom,GPEW,Green Party of England and Wales,green
51110,United Kingdom,GPEW,Green Party of England and Wales,green
51340,United Kingdom,SDLP,Social Democratic and Labour Party,centre-left
51903,United Kingdom,DUP,Democratic Unionist Party,centre-right
51621,United Kingdom,UUP,Ulster Unionist Party,centre-right
51320,United Kingdom,LAB,Labour Party,centre-left
51620,United Kingdom,CON,Conservative Party,centre-right
51420,United Kingdom,LIB,Liberal Party,liberal
51951,United Kingdom,UKIP,United Kingdom Independence Party,far-right
51902,United Kingdom,SNP,Scottish National Party,centre-left
51901,United Kingdom,PC,Plaid Cymru,centre-left
51180,United Kingdom,Sinn Féin,Sinn Féin,centre-left
51430,United Kingdom,Alliance,Alliance Party of Northern Ireland,liberal
51200,United Kingdom,Greens,Green Party Northern Ireland,green
51904,United Kingdom,TUV,Traditional Unionist Voice,far-right
51220,United Kingdom,Brexit,Brexit Party,far-right
51701,United Kingdom,ReformUK,Reform UK,far-right
51240,United Kingdom,Alba,Alba Party,centre-left
51250,United Kingdom,WP,Workers Party of Britain,far-left
51340,United Kingdom,SDLP,Social Democratic and Labour Party,centre-left
51903,United Kingdom,DUP,Democratic Unionist Party,centre-right
51621,United Kingdom,UUP,Ulster Unionist Party,centre-right
51430,United Kingdom,Alliance,Alliance Party of Northern Ireland,liberal
51904,United Kingdom,TUV,Traditional Unionist Voice,far-right
51310,United Kingdom,Brexit,Brexit Party,far-right
51701,United Kingdom,ReformUK,Reform UK,far-right
51330,United Kingdom,Alba,Alba Party,centre-left
51350,United Kingdom,WP,Workers Party of Britain,far-left
51340,United Kingdom,SDLP,Social Democratic and Labour Party,centre-left
51903,United Kingdom,DUP,Democratic Unionist Party,centre-right
51621,United Kingdom,UUP,Ulster Unionist Party,centre-right
51430,United Kingdom,Alliance,Alliance Party of Northern Ireland,liberal
51904,United Kingdom,TUV,Traditional Unionist Voice,far-right
51410,United Kingdom,Brexit,Brexit Party,far-right
51701,United Kingdom,ReformUK,Reform UK,far-right
51430,United Kingdom,Alba,Alba Party,centre-left
51440,United Kingdom,WP,Workers Party of Britain,far-left
